"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:117" "P23" 1950087 "Run1" 9 "0%" "0" 0 90 0 1 0.0416967
"1:118" "P23" 1977039 "Run1" 10 "25%" "0" 0 98 0 1 0.0362548
"1:119" "P23" 2002927 "Run1" 11 "50%" "0" 0 93 0 1 0.0339862
"1:120" "P23" 2029303 "Run1" 12 "50%" "0" 0 17 0 1 0.0399352
"1:121" "P23" 2054791 "Run1" 13 "75%" "0" 0 97 0 1 0.049902
"1:122" "P23" 2080463 "Run1" 14 "0%" "0" 0 92 0 1 0.0502433
"1:123" "P23" 2104679 "Run1" 15 "100%" "2" 1 0 14 1 0.0660895
"1:124" "P23" 2130367 "Run1" 16 "0%" "0" 0 16 0 1 0.0463636
"1:125" "P23" 2153839 "Run1" 17 "50%" "3" 1 0 66 1 0.0528088
"1:126" "P23" 2178728 "Run1" 18 "100%" "3" 1 0 79 1 0.0725511
"1:127" "P23" 2277815 "Run2" 1 "0%" "0" 0 68 0 1 0.051512
"1:128" "P23" 2302735 "Run2" 2 "100%" "2" 1 0 22 1 0.058625
"1:129" "P23" 2329783 "Run2" 3 "100%" "1" 1 0 0 1 0.0608248
"1:130" "P23" 2354616 "Run2" 4 "25%" "0" 0 64 0 1 0.0356503
"1:131" "P23" 2379311 "Run2" 5 "75%" "2" 1 0 25 1 0.0547616
"1:132" "P23" 2403975 "Run2" 6 "25%" "0" 0 70 0 1 0.0434599
"1:133" "P23" 2430287 "Run2" 7 "0%" "0" 0 100 0 1 0.0615519
"1:134" "P23" 2455423 "Run2" 8 "75%" "0" 0 77 0 1 0.0465094
"1:135" "P23" 2481415 "Run2" 9 "75%" "0" 0 85 0 1 0.0355406
"1:136" "P23" 2506655 "Run2" 10 "50%" "0" 0 67 0 1 0.0410312
"1:137" "P23" 2530495 "Run2" 11 "100%" "3" 1 0 39 1 0.0684273
"1:138" "P23" 2559743 "Run2" 12 "25%" "0" 0 51 0 1 0.0363409
"1:139" "P23" 2587191 "Run2" 13 "50%" "1" 1 0 7 1 0.051823
"1:140" "P23" 2609663 "Run2" 14 "25%" "3" 1 0 54 1 0.0699887
"1:141" "P23" 2633470 "Run2" 15 "0%" "0" 0 71 0 1 0.0439281
"1:142" "P23" 2656590 "Run2" 16 "50%" "0" 0 64 0 1 0.0439242
"1:143" "P23" 2681022 "Run2" 17 "75%" "0" 0 75 0 1 0.0441982
"1:144" "P23" 2704566 "Run2" 18 "50%" "0" 0 67 0 1 0.0599207
"1:145" "P23" 2804198 "Run3" 1 "100%" "3" 1 0 75 1 0.0471929
"1:146" "P23" 2829406 "Run3" 2 "100%" "1" 1 0 5 1 0.0515267
"1:147" "P23" 2853926 "Run3" 3 "25%" "0" 0 62 0 1 0.0538189
"1:148" "P23" 2879998 "Run3" 4 "75%" "0" 0 63 0 1 0.0594322
"1:149" "P23" 2907006 "Run3" 5 "25%" "1" 1 0 21 1 0.0648081
"1:150" "P23" 2932222 "Run3" 6 "25%" "0" 0 61 0 1 0.0347864
"1:151" "P23" 2956830 "Run3" 7 "50%" "0" 0 41 0 1 0.0471099
"1:152" "P23" 2979126 "Run3" 8 "0%" "0" 0 38 0 1 0.0504792
"1:153" "P23" 3002758 "Run3" 9 "75%" "0" 0 30 0 1 0.0435249
"1:154" "P23" 3026286 "Run3" 10 "75%" "0" 0 70 0 1 0.0498896
"1:155" "P23" 3049942 "Run3" 11 "0%" "0" 0 41 0 1 0.0393157
"1:156" "P23" 3072030 "Run3" 12 "50%" "0" 0 58 0 1 0.0409029
"1:157" "P23" 3096334 "Run3" 13 "50%" "2" 1 0 35 1 0.0540049
"1:158" "P23" 3121022 "Run3" 14 "75%" "3" 1 0 67 1 0.0668964
"1:159" "P23" 3143798 "Run3" 15 "0%" "0" 0 66 0 1 0.055743
"1:160" "P23" 3167942 "Run3" 16 "25%" "0" 0 22 0 1 0.0531164
"1:161" "P23" 3193622 "Run3" 17 "50%" "0" 0 36 0 1 0.0476823
"1:162" "P23" 3216654 "Run3" 18 "100%" "2" 1 0 27 1 0.0600002
"1:163" "P30" 2561057 "Run1" 1 "75%" "0" 0 7 0 1 0.0302713
"1:164" "P30" 2589649 "Run1" 2 "75%" "2" 1 0 53 1 0.0577213
"1:165" "P30" 2616849 "Run1" 3 "100%" "1" 1 0 10 1 0.0501347
"1:166" "P30" 2644729 "Run1" 4 "0%" "0" 0 82 0 1 0.0408671
"1:167" "P30" 2672401 "Run1" 5 "25%" "0" 0 92 0 1 0.0526339
"1:168" "P30" 2700633 "Run1" 6 "25%" "0" 0 80 0 1 0.0348078
"1:169" "P30" 2731409 "Run1" 7 "0%" "0" 0 93 0 1 0.0370569
"1:170" "P30" 2761449 "Run1" 8 "25%" "0" 0 76 0 1 0.0364292
"1:171" "P30" 2789345 "Run1" 9 "50%" "1" 1 0 36 1 0.0555498
"1:172" "P30" 2818937 "Run1" 10 "50%" "0" 0 60 0 1 0.037333
"1:173" "P30" 2843409 "Run1" 11 "75%" "0" 0 63 0 1 0.0348042
"1:174" "P30" 2869161 "Run1" 12 "50%" "0" 0 62 0 1 0.0408243
"1:175" "P30" 2898761 "Run1" 13 "25%" "3" 1 0 80 1 0.0869112
"1:176" "P30" 2925745 "Run1" 14 "0%" "0" 0 60 0 1 0.0505265
"1:177" "P30" 2948537 "Run1" 15 "75%" "0" 0 61 0 1 0.0410172
"1:178" "P30" 2976545 "Run1" 16 "50%" "0" 0 61 0 1 0.0408482
"1:179" "P30" 3001842 "Run1" 17 "100%" "3" 1 0 62 1 0.067144
"1:180" "P30" 3029593 "Run1" 18 "100%" "2" 1 0 59 1 0.046642
"1:181" "P30" 3129961 "Run2" 1 "75%" "1" 1 0 60 1 0.0481972
"1:182" "P30" 3162129 "Run2" 2 "75%" "0" 0 49 0 1 0.0375695
"1:183" "P30" 3188665 "Run2" 3 "50%" "3" 1 0 66 1 0.0334669
"1:184" "P30" 3213857 "Run2" 4 "75%" "0" 0 55 0 1 0.0396433
"1:185" "P30" 3243145 "Run2" 5 "25%" "0" 0 51 0 1 0.0380137
"1:186" "P30" 3269817 "Run2" 6 "100%" "1" 1 0 37 1 0.045335
"1:187" "P30" 3296489 "Run2" 7 "25%" "0" 0 48 0 1 0.0387376
"1:188" "P30" 3324225 "Run2" 8 "0%" "0" 0 83 0 1 0.0354557
"1:189" "P30" 3351665 "Run2" 9 "75%" "0" 0 46 0 1 0.0420617
"1:190" "P30" 3379457 "Run2" 10 "50%" "0" 0 51 0 1 0.0364636
"1:191" "P30" 3404593 "Run2" 11 "50%" "0" 0 43 0 1 0.043447
"1:192" "P30" 3433769 "Run2" 12 "100%" "2" 1 0 52 1 0.0549253
"1:193" "P30" 3459408 "Run2" 13 "0%" "0" 0 81 0 1 0.0402915
"1:194" "P30" 3487529 "Run2" 14 "25%" "0" 0 42 0 1 0.0404663
"1:195" "P30" 3515129 "Run2" 15 "100%" "3" 1 0 61 1 0.0495313
"1:196" "P30" 3548145 "Run2" 16 "25%" "2" 1 0 58 1 0.0525039
"1:197" "P30" 3572016 "Run2" 17 "0%" "0" 0 78 0 1 0.0337632
"1:198" "P30" 3596752 "Run2" 18 "50%" "0" 0 58 0 1 0.0437034
"1:199" "P30" 3695712 "Run3" 1 "100%" "1" 1 0 42 1 0.0451792
"1:200" "P30" 3720632 "Run3" 2 "25%" "0" 0 48 0 1 0.0236603
"1:201" "P30" 3748488 "Run3" 3 "75%" "0" 0 48 0 1 0.0236873
"1:202" "P30" 3773520 "Run3" 4 "0%" "0" 0 83 0 1 0.0167728
"1:203" "P30" 3797280 "Run3" 5 "50%" "0" 0 46 0 1 0.0286221
"1:204" "P30" 3822496 "Run3" 6 "25%" "1" 1 0 47 1 0.051764
"1:205" "P30" 3846280 "Run3" 7 "50%" "0" 0 44 0 1 0.0315083
"1:206" "P30" 3870824 "Run3" 8 "0%" "0" 0 81 0 1 0.0252784
"1:207" "P30" 3895680 "Run3" 9 "75%" "3" 1 0 73 1 0.0546832
"1:208" "P30" 3918552 "Run3" 10 "75%" "0" 0 43 0 1 0.0345108
"1:209" "P30" 3942336 "Run3" 11 "50%" "0" 0 32 0 1 0.0360316
"1:210" "P30" 3966080 "Run3" 12 "25%" "0" 0 41 0 1 0.0266614
"1:211" "P30" 3995160 "Run3" 13 "100%" "3" 1 0 65 1 0.0536952
"1:212" "P30" 4030928 "Run3" 14 "25%" "0" 0 40 0 1 0.034801
"1:213" "P30" 4056360 "Run3" 15 "0%" "0" 0 79 0 1 0.0305556
"1:214" "P30" 4078832 "Run3" 16 "75%" "0" 0 40 0 1 0.0381317
"1:215" "P30" 4101208 "Run3" 17 "50%" "2" 1 0 59 1 0.0499213
"1:216" "P30" 4123785 "Run3" 18 "100%" "2" 1 0 56 1 0.0541536
"1:217" "P36" 1961539 "Run1" 1 "75%" "2" 1 0 88 1 0.0116706
"1:218" "P36" 1986723 "Run1" 2 "25%" "0" 0 98 0 1 0.00829507
"1:219" "P36" 2013187 "Run1" 3 "25%" "0" 0 100 0 1 0.0063222
"1:220" "P36" 2038523 "Run1" 4 "0%" "0" 0 100 0 1 0.00577789
"1:221" "P36" 2065460 "Run1" 5 "75%" "0" 0 100 0 1 0.0389997
"1:222" "P36" 2091635 "Run1" 6 "100%" "2" 1 0 97 1 0.0378907
"1:223" "P36" 2118308 "Run1" 7 "100%" "3" 1 0 100 1 0.0601755
"1:224" "P36" 2143867 "Run1" 8 "75%" "0" 0 95 0 1 0.0109255
"1:225" "P36" 2167843 "Run1" 9 "25%" "3" 1 0 96 1 0.0106617
"1:226" "P36" 2191627 "Run1" 10 "25%" "0" 0 100 0 1 0.00620075
"1:227" "P36" 2214831 "Run1" 11 "50%" "0" 0 100 0 1 0.0164344
"1:228" "P36" 2240163 "Run1" 12 "0%" "0" 0 99 0 1 0.00529398
"1:229" "P36" 2265139 "Run1" 13 "50%" "0" 0 100 0 1 0.00605487
"1:230" "P36" 2289635 "Run1" 14 "0%" "0" 0 98 0 1 0.00641323
"1:231" "P36" 2312639 "Run1" 15 "75%" "0" 0 100 0 1 0.00615192
"1:232" "P36" 2337787 "Run1" 16 "50%" "0" 0 99 0 1 0.00571284
"1:233" "P36" 2365419 "Run1" 17 "50%" "1" 1 0 91 1 0.00979362
"1:234" "P36" 2390127 "Run1" 18 "100%" "1" 1 0 100 1 0.00867185
"1:235" "P36" 2489634 "Run2" 1 "50%" "0" 0 99 0 1 0.00535224
"1:236" "P36" 2515962 "Run2" 2 "0%" "0" 0 99 0 1 0.00608254
"1:237" "P36" 2540630 "Run2" 3 "75%" "0" 0 94 0 1 0.0068813
"1:238" "P36" 2565978 "Run2" 4 "0%" "0" 0 97 0 1 0.00675442
"1:239" "P36" 2590706 "Run2" 5 "75%" "0" 0 99 0 1 0.00626635
"1:240" "P36" 2615415 "Run2" 6 "0%" "0" 0 98 0 1 0.00622711
"1:241" "P36" 2643298 "Run2" 7 "100%" "1" 1 0 94 1 0.0654756
"1:242" "P36" 2666598 "Run2" 8 "25%" "0" 0 98 0 1 0.00654351
"1:243" "P36" 2692182 "Run2" 9 "25%" "0" 0 100 0 1 0.00869916
"1:244" "P36" 2717346 "Run2" 10 "50%" "3" 1 0 100 1 0.0404771
"1:245" "P36" 2742770 "Run2" 11 "75%" "1" 1 0 97 1 0.00699412
"1:246" "P36" 2766802 "Run2" 12 "100%" "2" 1 0 98 1 0.279209
