"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:135" "P05" 2816400 "Run2" 9 "25%" "0" 0 6 0 1 0.0143353
"1:136" "P05" 2839920 "Run2" 10 "100%" "2" 1 0 67 1 0.013463
"1:137" "P05" 2865368 "Run2" 11 "100%" "1" 1 0 16 1 0.0140395
"1:138" "P05" 2893776 "Run2" 12 "0%" "0" 0 0 0 1 0.0103068
"1:139" "P05" 2919024 "Run2" 13 "25%" "3" 1 0 100 1 0.0184726
"1:140" "P05" 2943352 "Run2" 14 "0%" "0" 0 12 0 1 0.0143756
"1:141" "P05" 2968280 "Run2" 15 "75%" "0" 0 9 0 1 0.0142245
"1:142" "P05" 2994304 "Run2" 16 "100%" "3" 1 0 85 1 0.0101518
"1:143" "P05" 3019384 "Run2" 17 "50%" "0" 0 9 0 1 0.0144634
"1:144" "P05" 3041304 "Run2" 18 "75%" "2" 1 0 60 1 0.0126233
"1:145" "P05" 3140440 "Run3" 1 "50%" "0" 0 72 0 1 0.0155588
"1:146" "P05" 3164664 "Run3" 2 "25%" "0" 0 13 0 1 0.0174287
"1:147" "P05" 3187880 "Run3" 3 "25%" "0" 0 82 0 1 0.019098
"1:148" "P05" 3212600 "Run3" 4 "75%" "0" 0 74 0 1 0.0220704
"1:149" "P05" 3236920 "Run3" 5 "50%" "3" 1 0 96 1 0.0145272
"1:150" "P05" 3262344 "Run3" 6 "100%" "2" 1 0 60 1 0.0123712
"1:151" "P05" 3287976 "Run3" 7 "75%" "1" 1 0 34 1 0.0191732
"1:152" "P05" 3315728 "Run3" 8 "50%" "0" 0 19 0 1 0.0206601
"1:153" "P05" 3341520 "Run3" 9 "0%" "0" 0 0 0 1 0.022723
"1:154" "P05" 3367680 "Run3" 10 "25%" "0" 0 0 0 1 0.0211086
"1:155" "P05" 3391832 "Run3" 11 "75%" "0" 0 61 0 1 0.0223257
"1:156" "P05" 3417928 "Run3" 12 "25%" "2" 1 0 71 1 0.0165569
"1:157" "P05" 3444000 "Run3" 13 "0%" "0" 0 0 0 1 0.0216949
"1:158" "P05" 3469736 "Run3" 14 "100%" "3" 1 0 86 1 0.0128899
"1:159" "P05" 3495952 "Run3" 15 "50%" "0" 0 93 0 1 0.0146482
"1:160" "P05" 3520192 "Run3" 16 "100%" "1" 1 0 9 1 0.0132497
"1:161" "P05" 3545535 "Run3" 17 "75%" "0" 0 91 0 1 0.0154993
"1:162" "P05" 3570023 "Run3" 18 "0%" "0" 0 0 0 1 0.0165106
"1:163" "P06" 2481837 "Run1" 1 "75%" "0" 0 60 0 1 0.0264506
"1:164" "P06" 2510925 "Run1" 2 "50%" "3" 1 0 67 1 0.045417
"1:165" "P06" 2537990 "Run1" 3 "100%" "2" 1 0 55 1 0.0285608
"1:166" "P06" 2563677 "Run1" 4 "75%" "0" 0 57 0 1 0.0251429
"1:167" "P06" 2599501 "Run1" 5 "50%" "0" 0 0 0 1 0.025479
"1:168" "P06" 2634525 "Run1" 6 "50%" "0" 0 34 0 1 0.0300975
"1:169" "P06" 2661021 "Run1" 7 "75%" "1" 1 0 26 1 0.0295768
"1:170" "P06" 2688462 "Run1" 8 "75%" "0" 0 28 0 1 0.0265957
"1:171" "P06" 2714773 "Run1" 9 "25%" "0" 0 61 0 1 0.0290102
"1:172" "P06" 2743965 "Run1" 10 "25%" "0" 0 58 0 1 0.0331732
